rep,guard,recall,fpr
380,v2,0.8534010946051602,0.0
380,v3,1.0,0.0
381,v2,0.8615565115369573,0.0
381,v3,1.0,0.0
382,v2,0.8555772994129158,0.0
382,v3,1.0,0.0
383,v2,0.854680767724246,0.0
383,v3,1.0,0.0
384,v2,0.8517065515888583,0.0
384,v3,1.0,0.0
385,v2,0.8531576908175126,0.0
385,v3,1.0,0.0
386,v2,0.8489461358313818,0.0
386,v3,1.0,0.0
387,v2,0.8466981132075472,0.0
387,v3,1.0,0.0
388,v2,0.8549766718506998,0.0
388,v3,1.0,0.0
389,v2,0.8571428571428571,0.0
389,v3,1.0,0.0
390,v2,0.8504784688995215,0.0
390,v3,1.0,0.0
391,v2,0.851195065535852,0.0
391,v3,1.0,0.0
392,v2,0.8495887191539365,0.0
392,v3,1.0,0.0
393,v2,0.8556338028169014,0.0
393,v3,1.0,0.0
394,v2,0.8577637297510865,0.0
394,v3,1.0,0.0
395,v2,0.8593260188087775,0.0
395,v3,1.0,0.0
396,v2,0.8488645262333594,0.0
396,v3,1.0,0.0
397,v2,0.853078721745908,0.0
397,v3,1.0,0.0
398,v2,0.8481835564053537,0.0
398,v3,1.0,0.0
399,v2,0.8543537680593518,0.0
399,v3,1.0,0.0
400,v2,0.860248447204969,0.0
400,v3,1.0,0.0
401,v2,0.8492832235567609,0.0
401,v3,1.0,0.0
402,v2,0.8507692307692307,0.0
402,v3,1.0,0.0
403,v2,0.8522323192414065,0.0
403,v3,1.0,0.0
404,v2,0.856592135697764,0.0
404,v3,1.0,0.0
405,v2,0.8605191786129407,0.0
405,v3,1.0,0.0
406,v2,0.8531007751937985,0.0
406,v3,1.0,0.0
407,v2,0.8561912225705329,0.0
407,v3,1.0,0.0
408,v2,0.8548700038804812,0.0
408,v3,1.0,0.0
409,v2,0.8576967816983326,0.0
409,v3,1.0,0.0
410,v2,0.8567525370804059,0.0
410,v3,1.0,0.0
411,v2,0.8603461841070024,0.0
411,v3,1.0,0.0
412,v2,0.8556902620258114,0.0
412,v3,1.0,0.0
413,v2,0.8536209553158706,0.0
413,v3,1.0,0.0
414,v2,0.848496835443038,0.0
414,v3,1.0,0.0
415,v2,0.853384912959381,0.0
415,v3,1.0,0.0
416,v2,0.8529526789206101,0.0
